author,author_detail,authors,content,credit,guidislink,id,link,links,media_content,media_credit,probability,published,published_parsed,summary,summary_detail,tags,title,title_detail
,,[{}],,,False,http://www.nytimes.com/crosswords/game/mini,http://www.nytimes.com/crosswords/game/mini?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.nytimes.com/crosswords/game/mini?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'http://www.nytimes.com/crosswords/game/mini?partner=rss&emc=rss', 'type': 'text/html'}]",,,64.08%,"Tue, 14 Mar 2017 22:01:11 GMT","time.struct_time(tm_year=2017, tm_mon=3, tm_mday=14, tm_hour=22, tm_min=1, tm_sec=11, tm_wday=1, tm_yday=73, tm_isdst=0)",Solve a bite-size crossword in just a few minutes.,"{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Solve a bite-size crossword in just a few minutes.'}",,Your Daily Mini Crossword,"{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Your Daily Mini Crossword'}"
"DAVID D. KIRKPATRICK, DANNY HAKIM and JAMES GLANZ","{'name': 'DAVID D. KIRKPATRICK, DANNY HAKIM and JAMES GLANZ'}","[{'name': 'DAVID D. KIRKPATRICK, DANNY HAKIM and JAMES GLANZ'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'The incineration of the 24-story London high rise, the deadliest fire in Britain in more than a century, was rooted in a regulatory breakdown.'}]",Toby Melville/Reuters,False,https://www.nytimes.com/2017/06/24/world/europe/grenfell-tower-london-fire.html,https://www.nytimes.com/2017/06/24/world/europe/grenfell-tower-london-fire.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/world/europe/grenfell-tower-london-fire.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/world/europe/grenfell-tower-london-fire.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/24/world/25London-fire1/25London-fire1-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Toby Melville/Reuters'}],14.84%,"Sat, 24 Jun 2017 12:53:56 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=24, tm_hour=12, tm_min=53, tm_sec=56, tm_wday=5, tm_yday=175, tm_isdst=0)","Flames and smoke engulfed Grenfell Tower in London this month, resulting in at least 79 deaths.","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Flames and smoke engulfed Grenfell Tower in London this month, resulting in at least 79 deaths.'}","[{'term': 'Grenfell Tower Fire (June, 2017)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Fires and Firefighters', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Engineering and Engineers', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Public and Subsidized Housing', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Buildings (Structures)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Accidents and Safety', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Cameron, David', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'London (England)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Regulation and Deregulation of Industry', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]",Why Grenfell Tower Burned: Regulators Put Cost Before Safety,"{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Why Grenfell Tower Burned: Regulators Put Cost Before Safety'}"
STEPHEN CASTLE,{'name': 'STEPHEN CASTLE'},[{'name': 'STEPHEN CASTLE'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Some residents are refusing to leave their homes after they were ordered out for fear their buildings have hazardous cladding.'}]",Tolga Akmen/European Pressphoto Agency,False,https://www.nytimes.com/2017/06/24/world/europe/london-tower-fire-evacuation.html,https://www.nytimes.com/2017/06/24/world/europe/london-tower-fire-evacuation.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/world/europe/london-tower-fire-evacuation.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/world/europe/london-tower-fire-evacuation.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/24/world/europe/evac-img/evac-img-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Tolga Akmen/European Pressphoto Agency'}],69.53%,"Sat, 24 Jun 2017 15:34:43 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=24, tm_hour=15, tm_min=34, tm_sec=43, tm_wday=5, tm_yday=175, tm_isdst=0)",Residents of the Chalcots Estate tower blocks waited at the Swiss Cottage Leisure Center and Library in the Camden area of London on Friday night to get temporary accommodations.,"{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Residents of the Chalcots Estate tower blocks waited at the Swiss Cottage Leisure Center and Library in the Camden area of London on Friday night to get temporary accommodations.'}","[{'term': 'Grenfell Tower Fire (June, 2017)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Fires and Firefighters', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Evacuations and Evacuees', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'London (England)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Deaths (Fatalities)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Grenfell Tower (London, England)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}]",‘This Is Appalling’: Evacuated London Residents Try to Cope,"{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': '‘This Is Appalling’: Evacuated London Residents Try to Cope'}"
RACHEL ABRAMS,{'name': 'RACHEL ABRAMS'},[{'name': 'RACHEL ABRAMS'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Bananas can’t get cold. Milk mustn’t tip. Online food delivery still trips up companies. A day on the truck shows why.'}]",Bryan Anselm for The New York Times,False,https://www.nytimes.com/2017/06/24/business/a-street-fight-among-grocers-to-deliver-your-milk-eggs-bananas.html,https://www.nytimes.com/2017/06/24/business/a-street-fight-among-grocers-to-deliver-your-milk-eggs-bananas.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/business/a-street-fight-among-grocers-to-deliver-your-milk-eggs-bananas.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/business/a-street-fight-among-grocers-to-deliver-your-milk-eggs-bananas.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/25/business/25LASTMILE1-WEB/25LASTMILE1-WEB-moth-v2.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Bryan Anselm for The New York Times'}],12.08%,"Sat, 24 Jun 2017 09:00:27 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=24, tm_hour=9, tm_min=0, tm_sec=27, tm_wday=5, tm_yday=175, tm_isdst=0)",The Peapod driver Sinclair Browne carries a delivery order to a customer on the Upper East Side.,"{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'The Peapod driver Sinclair Browne carries a delivery order to a customer on the Upper East Side.'}","[{'term': 'Delivery Services', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Amazon.com Inc', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}, {'term': 'Peapod Inc', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}, {'term': 'FreshDirect', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}]","A Street Fight Among Grocers to Deliver Your Milk, Eggs, Bananas","{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'A Street Fight Among Grocers to Deliver Your Milk, Eggs, Bananas'}"
IAN JOHNSON,{'name': 'IAN JOHNSON'},[{'name': 'IAN JOHNSON'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Millions have joined faith organizations like Fo Guang Shan, aiming to fill what they see as a moral vacuum. But to operate in China, groups like Fo Guang Shan must compromise.'}]",Gilles Sabrie for The New York Times,False,https://www.nytimes.com/2017/06/24/world/asia/china-buddhism-fo-guang-shan.html,https://www.nytimes.com/2017/06/24/world/asia/china-buddhism-fo-guang-shan.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/world/asia/china-buddhism-fo-guang-shan.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/world/asia/china-buddhism-fo-guang-shan.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/23/world/foguangshan1/foguangshan1-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Gilles Sabrie for The New York Times'}],54.56%,"Sun, 25 Jun 2017 00:00:34 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=25, tm_hour=0, tm_min=0, tm_sec=34, tm_wday=6, tm_yday=176, tm_isdst=0)","A statue of the Venerable Master Hsing Yun, the leader of the Buddhist organization Fo Guang Shan, in Yixing.","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'A statue of the Venerable Master Hsing Yun, the leader of the Buddhist organization Fo Guang Shan, in Yixing.'}","[{'term': 'vis-photo', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Buddhism', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Fo Guang Shan', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}, {'term': 'Hsing Yun', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'Communist Party of China', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}, {'term': 'Xi Jinping', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'China', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}]",Is a Buddhist Group Changing China? Or Is China Changing It?,"{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Is a Buddhist Group Changing China? Or Is China Changing It?'}"
MANNY FERNANDEZ and DAVID MONTGOMERY,{'name': 'MANNY FERNANDEZ and DAVID MONTGOMERY'},[{'name': 'MANNY FERNANDEZ and DAVID MONTGOMERY'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'As immigrants in Houston follow Washington’s political turmoil, some find ominous echoes from their homelands. Others find a reminder they are lucky to be here.'}]",Michael Stravato for The New York Times,False,https://www.nytimes.com/2017/06/24/us/trump-houston-immigrants-scandals-.html,https://www.nytimes.com/2017/06/24/us/trump-houston-immigrants-scandals-.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/us/trump-houston-immigrants-scandals-.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/us/trump-houston-immigrants-scandals-.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/18/us/00Americandreamers-4/00Americandreamers-4-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Michael Stravato for The New York Times'}],27.79%,"Sat, 24 Jun 2017 16:31:49 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=24, tm_hour=16, tm_min=31, tm_sec=49, tm_wday=5, tm_yday=175, tm_isdst=0)","M.J. Khan, president of the Islamic Society of Greater Houston, said there was no comparison politically or culturally between Trump-era America and the Middle East.","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'M.J. Khan, president of the Islamic Society of Greater Houston, said there was no comparison politically or culturally between Trump-era America and the Middle East.'}","[{'term': 'Immigration and Emigration', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Freedom of Speech and Expression', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Trump, Donald J', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'Houston (Tex)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Politics and Government', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'United States Politics and Government', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}]","To Make Sense of American Politics, Immigrants Find Clues From Lands They Left","{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'To Make Sense of American Politics, Immigrants Find Clues From Lands They Left'}"
JEREMY ALLEN,{'name': 'JEREMY ALLEN'},[{'name': 'JEREMY ALLEN'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'A year after the shooting at Pulse in Orlando, dance parties and events have roared back in New York City, in a celebration of community.'}]",Emil Cohen for The New York Times,False,https://www.nytimes.com/2017/06/20/us/gay-pride-lgbtq-new-york-city-nightlife.html,https://www.nytimes.com/2017/06/20/us/gay-pride-lgbtq-new-york-city-nightlife.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/20/us/gay-pride-lgbtq-new-york-city-nightlife.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/20/us/gay-pride-lgbtq-new-york-city-nightlife.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/20/us/25PARTIES-wetnoise-01/25PARTIES-wetnoise-01-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Emil Cohen for The New York Times'}],71.46%,"Tue, 20 Jun 2017 09:00:56 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=20, tm_hour=9, tm_min=0, tm_sec=56, tm_wday=1, tm_yday=171, tm_isdst=0)","Wet Noise, a monthly East Village party.","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Wet Noise, a monthly East Village party.'}","[{'term': 'Bars and Nightclubs', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Discrimination', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Women and Girls', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Orlando, Fla, Shooting (2016)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Homosexuality and Bisexuality', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Disc Jockeys', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Transgender and Transsexuals', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'New York City', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Pop and Rock Music', 'scheme': 'http://www.nytimes.com/namespaces/keywords/mdes', 'label': None}, {'term': 'Pride 2017', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_keyword', 'label': None}]","Pride 2017: Defiant on the Dance Floor: L.G.B.T.Q. Night Life in New York, 2017","{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Pride 2017: Defiant on the Dance Floor: L.G.B.T.Q. Night Life in New York, 2017'}"
BRIAN M. ROSENTHAL,{'name': 'BRIAN M. ROSENTHAL'},[{'name': 'BRIAN M. ROSENTHAL'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Mr. Dietl was the private investigator of choice for Roger Ailes, Steve Bannon and Don Imus. Now, he wants to be New York City’s mayor.'}]",Hilary Swift for The New York Times,False,https://www.nytimes.com/2017/06/24/nyregion/bo-dietl-new-york-mayor.html,https://www.nytimes.com/2017/06/24/nyregion/bo-dietl-new-york-mayor.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/nyregion/bo-dietl-new-york-mayor.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/nyregion/bo-dietl-new-york-mayor.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/25/nyregion/25DIETL1/00DIETL1-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Hilary Swift for The New York Times'}],90.31%,"Sat, 24 Jun 2017 12:00:26 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=24, tm_hour=12, tm_min=0, tm_sec=26, tm_wday=5, tm_yday=175, tm_isdst=0)","Bo Dietl outside his office in Manhattan. “Everybody has a right to defend themselves under the Constitution,” he said of his clients and his work for them.","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Bo Dietl outside his office in Manhattan. “Everybody has a right to defend themselves under the Constitution,” he said of his clients and his work for them.'}","[{'term': 'Sexual Harassment', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Elections, Mayors', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'New York City', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Ailes, Roger E', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'Bannon, Stephen K', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'Dietl, Bo', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'Tantaros, Andrea (1978- )', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'Carlson, Gretchen', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}]",A Self-Proclaimed ‘Tough Cop’ Wants a New Title: Mayor,"{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'A Self-Proclaimed ‘Tough Cop’ Wants a New Title: Mayor'}"
RICK ROJAS,{'name': 'RICK ROJAS'},[{'name': 'RICK ROJAS'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Five decades after the Newark riots, The Times wants to hear from those who lived in Newark at the time or were otherwise affected by what happened.'}]",The New York Times,False,https://www.nytimes.com/2017/06/23/nyregion/tell-us-your-stories-from-the-newark-riots.html,https://www.nytimes.com/2017/06/23/nyregion/tell-us-your-stories-from-the-newark-riots.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/23/nyregion/tell-us-your-stories-from-the-newark-riots.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/23/nyregion/tell-us-your-stories-from-the-newark-riots.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/22/nyregion/NEWARK-callout1/NEWARK-callout-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'The New York Times'}],69.95%,"Fri, 23 Jun 2017 16:16:04 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=23, tm_hour=16, tm_min=16, tm_sec=4, tm_wday=4, tm_yday=174, tm_isdst=0)","Damage from the Newark riots at the corner of Springfield and Morris Avenues on July 14, 1967.","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Damage from the Newark riots at the corner of Springfield and Morris Avenues on July 14, 1967.'}","[{'term': 'Demonstrations, Protests and Riots', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Newark (NJ)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}]",Tell Us Your Stories From the Newark Riots,"{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Tell Us Your Stories From the Newark Riots'}"
JOSH PLANOS,{'name': 'JOSH PLANOS'},[{'name': 'JOSH PLANOS'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'After playing for years overseas, Yvonne Turner of the Phoenix Mercury is still coming to grips with the fact that she has finally reached her goal, at age 29.'}]","Juan Ocampo/NBAE, via Getty Images",False,https://www.nytimes.com/2017/06/24/sports/basketball/wnba-phoenix-mercury-yvonne-turner.html,https://www.nytimes.com/2017/06/24/sports/basketball/wnba-phoenix-mercury-yvonne-turner.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/sports/basketball/wnba-phoenix-mercury-yvonne-turner.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/sports/basketball/wnba-phoenix-mercury-yvonne-turner.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/25/sports/25rookies1/00rookies1-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]","[{'content': 'Juan Ocampo/NBAE, via Getty Images'}]",75.27%,"Sat, 24 Jun 2017 17:52:26 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=24, tm_hour=17, tm_min=52, tm_sec=26, tm_wday=5, tm_yday=175, tm_isdst=0)","The Phoenix Mercury’s Yvonne Turner, No. 6, in a game against the Los Angeles Sparks on June 18. Turner, 29, is the W.N.B.A.’s oldest rookie.","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'The Phoenix Mercury’s Yvonne Turner, No. 6, in a game against the Los Angeles Sparks on June 18. Turner, 29, is the W.N.B.A.’s oldest rookie.'}","[{'term': 'Phoenix Mercury', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}, {'term': 'Turner, Yvonne (1987- )', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': ""Women's National Basketball Assn"", 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}, {'term': 'Basketball', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]","For W.N.B.A.’s Oldest Rookie, a Lot of Persistence Goes a Long Way","{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'For W.N.B.A.’s Oldest Rookie, a Lot of Persistence Goes a Long Way'}"
DAVE CALDWELL,{'name': 'DAVE CALDWELL'},[{'name': 'DAVE CALDWELL'}],"[{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Alon Day, 25, who specializes in road courses, will drive the No. 23 Toyota for BK Racing on Sunday in Sonoma, Calif.'}]",Matt Sullivan/Getty Images,False,https://www.nytimes.com/2017/06/24/sports/nascar-cup-series-sonoma-alon-day.html,https://www.nytimes.com/2017/06/24/sports/nascar-cup-series-sonoma-alon-day.html?partner=rss&emc=rss,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2017/06/24/sports/nascar-cup-series-sonoma-alon-day.html?partner=rss&emc=rss'}, {'rel': 'standout', 'href': 'https://www.nytimes.com/2017/06/24/sports/nascar-cup-series-sonoma-alon-day.html?partner=rss&emc=rss', 'type': 'text/html'}]","[{'url': 'https://static01.nyt.com/images/2017/06/25/sports/25NASCAR/25NASCAR-moth.jpg', 'medium': 'image', 'height': '151', 'width': '151'}]",[{'content': 'Matt Sullivan/Getty Images'}],3.71%,"Sat, 24 Jun 2017 15:40:36 GMT","time.struct_time(tm_year=2017, tm_mon=6, tm_mday=24, tm_hour=15, tm_min=40, tm_sec=36, tm_wday=5, tm_yday=175, tm_isdst=0)","Alon Day, 25, will be the first Israeli to compete in Nascar’s top Cup series when he takes part in Sunday’s race in Sonoma, Calif. “I think the main thing is that I’m not talking about a good result,” he said. “I’m talking about establishing my name.”","{'type': 'text/html', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Alon Day, 25, will be the first Israeli to compete in Nascar’s top Cup series when he takes part in Sunday’s race in Sonoma, Calif. “I think the main thing is that I’m not talking about a good result,” he said. “I’m talking about establishing my name.”'}","[{'term': 'Day, Alon (1991- )', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'National Assn of Stock Car Auto Racing', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org_all', 'label': None}, {'term': 'Israel', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Automobile Racing', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Jews and Judaism', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]",Israeli Competitor Is a First for Nascar’s Top Cup Series,"{'type': 'text/plain', 'language': None, 'base': 'http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml', 'value': 'Israeli Competitor Is a First for Nascar’s Top Cup Series'}"
